month,warehouse,sku,forecast_units,actual_units
2025-01-01,WH-NORTH,SKU-0001,0,0
2025-01-01,WH-NORTH,SKU-0002,44,35
2025-01-01,WH-NORTH,SKU-0003,34,35
2025-01-01,WH-NORTH,SKU-0004,0,0
2025-01-01,WH-NORTH,SKU-0005,2,2
2025-01-01,WH-NORTH,SKU-0006,56,56
2025-01-01,WH-NORTH,SKU-0007,23,31
2025-01-01,WH-NORTH,SKU-0008,93,93
2025-01-01,WH-NORTH,SKU-0009,0,0
2025-01-01,WH-NORTH,SKU-0010,0,0
2025-01-01,WH-NORTH,SKU-0011,0,0
2025-01-01,WH-NORTH,SKU-0012,76,89
2025-01-01,WH-NORTH,SKU-0013,28,25
2025-01-01,WH-NORTH,SKU-0014,36,33
2025-01-01,WH-NORTH,SKU-0015,52,50
2025-01-01,WH-NORTH,SKU-0016,0,0
2025-01-01,WH-NORTH,SKU-0017,35,40
2025-01-01,WH-NORTH,SKU-0018,0,0
2025-01-01,WH-NORTH,SKU-0019,45,57
2025-01-01,WH-NORTH,SKU-0020,27,26
2025-01-01,WH-NORTH,SKU-0021,42,41
2025-01-01,WH-NORTH,SKU-0022,31,30
2025-01-01,WH-NORTH,SKU-0023,0,0
2025-01-01,WH-NORTH,SKU-0024,70,72
2025-01-01,WH-NORTH,SKU-0025,33,36
2025-01-01,WH-NORTH,SKU-0026,15,25
2025-01-01,WH-NORTH,SKU-0027,52,54
2025-01-01,WH-NORTH,SKU-0028,7,9
2025-01-01,WH-NORTH,SKU-0029,38,44
2025-01-01,WH-NORTH,SKU-0030,125,133
2025-01-01,WH-NORTH,SKU-0031,0,0
2025-01-01,WH-NORTH,SKU-0032,41,39
2025-01-01,WH-NORTH,SKU-0033,32,26
2025-01-01,WH-NORTH,SKU-0034,0,0
2025-01-01,WH-NORTH,SKU-0035,42,37
2025-01-01,WH-NORTH,SKU-0036,5,6
2025-01-01,WH-NORTH,SKU-0037,25,30
2025-01-01,WH-NORTH,SKU-0038,0,0
2025-01-01,WH-NORTH,SKU-0039,31,28
2025-01-01,WH-NORTH,SKU-0040,7,8
2025-01-01,WH-NORTH,SKU-0041,67,60
2025-01-01,WH-NORTH,SKU-0042,31,35
2025-01-01,WH-NORTH,SKU-0043,6,8
2025-01-01,WH-NORTH,SKU-0044,31,40
2025-01-01,WH-NORTH,SKU-0045,0,0
2025-01-01,WH-NORTH,SKU-0046,0,0
2025-01-01,WH-NORTH,SKU-0047,23,18
2025-01-01,WH-NORTH,SKU-0048,0,0
2025-01-01,WH-NORTH,SKU-0049,59,56
2025-01-01,WH-NORTH,SKU-0050,34,39
2025-01-01,WH-NORTH,SKU-0051,62,68
2025-01-01,WH-NORTH,SKU-0052,38,35
2025-01-01,WH-NORTH,SKU-0053,67,65
2025-01-01,WH-NORTH,SKU-0054,26,27
2025-01-01,WH-NORTH,SKU-0055,0,0
2025-01-01,WH-NORTH,SKU-0056,19,24
2025-01-01,WH-NORTH,SKU-0057,40,59
2025-01-01,WH-NORTH,SKU-0058,11,15
2025-01-01,WH-NORTH,SKU-0059,41,43
2025-01-01,WH-NORTH,SKU-0060,0,0
2025-01-01,WH-NORTH,SKU-0061,6,5
2025-01-01,WH-NORTH,SKU-0062,27,39
2025-01-01,WH-NORTH,SKU-0063,67,61
2025-01-01,WH-NORTH,SKU-0064,34,35
2025-01-01,WH-NORTH,SKU-0065,20,22
2025-01-01,WH-NORTH,SKU-0066,14,13
2025-01-01,WH-NORTH,SKU-0067,5,8
2025-01-01,WH-NORTH,SKU-0068,28,25
2025-01-01,WH-NORTH,SKU-0069,41,36
2025-01-01,WH-NORTH,SKU-0070,106,77
2025-01-01,WH-NORTH,SKU-0071,44,35
2025-01-01,WH-NORTH,SKU-0072,71,95
2025-01-01,WH-NORTH,SKU-0073,56,66
2025-01-01,WH-NORTH,SKU-0074,62,54
2025-01-01,WH-NORTH,SKU-0075,34,45
2025-01-01,WH-NORTH,SKU-0076,85,66
2025-01-01,WH-NORTH,SKU-0077,0,0
2025-01-01,WH-NORTH,SKU-0078,42,41
2025-01-01,WH-NORTH,SKU-0079,121,134
2025-01-01,WH-NORTH,SKU-0080,101,90
2025-01-01,WH-NORTH,SKU-0081,0,0
2025-01-01,WH-NORTH,SKU-0082,62,49
2025-01-01,WH-NORTH,SKU-0083,0,0
2025-01-01,WH-NORTH,SKU-0084,6,7
2025-01-01,WH-NORTH,SKU-0085,115,113
2025-01-01,WH-NORTH,SKU-0086,3,3
2025-01-01,WH-NORTH,SKU-0087,18,15
2025-01-01,WH-NORTH,SKU-0088,45,40
2025-01-01,WH-NORTH,SKU-0089,107,78
2025-01-01,WH-NORTH,SKU-0090,76,65
2025-01-01,WH-NORTH,SKU-0091,20,17
2025-01-01,WH-NORTH,SKU-0092,4,6
2025-01-01,WH-NORTH,SKU-0093,0,0
2025-01-01,WH-NORTH,SKU-0094,56,60
2025-01-01,WH-NORTH,SKU-0095,40,59
2025-01-01,WH-NORTH,SKU-0096,28,42
