order_line_id,order_id,customer_id,warehouse,order_date,promised_date,sku,supplier_id,units_ordered,units_shipped,unit_price,unit_weight_kg,revenue
OL0000001,O000001,C0163,WH-CENTRAL,2025-03-02,2025-03-07,SKU-0101,SUP016,13,13,403.55,17.64,5246.15
OL0000002,O000001,C0163,WH-CENTRAL,2025-03-02,2025-03-07,SKU-0007,SUP010,3,3,400.43,0.7,1201.29
OL0000003,O000001,C0163,WH-CENTRAL,2025-03-02,2025-03-07,SKU-0110,SUP011,19,19,165.64,21.74,3147.16
OL0000004,O000001,C0163,WH-CENTRAL,2025-03-02,2025-03-07,SKU-0031,SUP015,6,6,427.01,4.27,2562.06
OL0000005,O000002,C0066,WH-SOUTH,2025-09-27,2025-09-30,SKU-0096,SUP007,43,43,21.39,22.38,919.77
OL0000006,O000002,C0066,WH-SOUTH,2025-09-27,2025-09-30,SKU-0012,SUP018,23,23,87.99,20.68,2023.77
OL0000007,O000002,C0066,WH-SOUTH,2025-09-27,2025-09-30,SKU-0082,SUP015,14,14,186.7,12.62,2613.8
OL0000008,O000002,C0066,WH-SOUTH,2025-09-27,2025-09-30,SKU-0107,SUP011,5,5,167.78,19.54,838.9
OL0000009,O000003,C0160,WH-CENTRAL,2025-05-21,2025-05-28,SKU-0112,SUP003,14,14,267.95,9.6,3751.3
OL0000010,O000003,C0160,WH-CENTRAL,2025-05-21,2025-05-28,SKU-0003,SUP016,5,5,296.77,6.55,1483.85
OL0000011,O000004,C0176,WH-CENTRAL,2025-08-03,2025-08-08,SKU-0013,SUP008,11,11,145.46,12.28,1600.06
OL0000012,O000004,C0176,WH-CENTRAL,2025-08-03,2025-08-08,SKU-0027,SUP020,30,30,48.55,7.23,1456.5
OL0000013,O000004,C0176,WH-CENTRAL,2025-08-03,2025-08-08,SKU-0091,SUP009,37,37,437.88,3.8,16201.56
OL0000014,O000005,C0173,WH-NORTH,2025-08-29,2025-09-05,SKU-0002,SUP017,5,5,145.93,22.77,729.65
