shipment_id,order_id,carrier,warehouse,ship_date,delivery_date,promised_date,shipment_weight_kg,freight_cost,handling_cost,exception_cost,on_time
S000001,O000001,CarrierA,WH-CENTRAL,2025-03-02,2025-03-09,2025-03-07,670.1,286.79,16.48,42.66,False
S000002,O000002,CarrierA,WH-SOUTH,2025-09-30,2025-09-30,2025-09-30,1712.36,1146.33,7.71,0.0,True
S000003,O000003,CarrierA,WH-CENTRAL,2025-05-24,2025-05-28,2025-05-28,167.15,133.14,7.53,0.0,True
S000004,O000004,CarrierC,WH-CENTRAL,2025-08-05,2025-08-08,2025-08-08,492.58,244.63,4.48,0.0,True
S000005,O000005,CarrierB,WH-NORTH,2025-08-31,2025-09-05,2025-09-05,113.85,79.94,9.47,0.0,True
S000006,O000006,CarrierB,WH-CENTRAL,2025-07-11,2025-07-13,2025-07-13,358.94,135.73,11.56,0.0,True
S000007,O000007,CarrierA,WH-NORTH,2025-11-05,2025-11-07,2025-11-07,286.56,186.18,9.58,0.0,True
S000008,O000008,CarrierA,WH-CENTRAL,2025-01-11,2025-01-14,2025-01-14,451.49,308.71,7.69,0.0,True
S000009,O000009,CarrierB,WH-CENTRAL,2025-08-17,2025-08-17,2025-08-17,285.06,271.29,7.0,0.0,True
S000010,O000010,CarrierD,WH-CENTRAL,2025-04-12,2025-04-14,2025-04-13,120.6,84.17,6.16,57.94,False
S000011,O000011,CarrierA,WH-SOUTH,2025-09-28,2025-09-30,2025-09-30,236.4,159.16,8.2,0.0,True
S000012,O000012,CarrierD,WH-CENTRAL,2025-12-28,2026-01-02,2026-01-02,762.75,568.31,6.41,0.0,True
S000013,O000013,CarrierA,WH-NORTH,2025-02-06,2025-02-07,2025-02-08,907.74,772.13,13.66,0.0,True
S000014,O000014,CarrierD,WH-NORTH,2025-05-14,2025-05-14,2025-05-14,1137.52,737.74,4.15,0.0,True
S000015,O000015,CarrierC,WH-SOUTH,2025-01-10,2025-01-12,2025-01-11,164.32,130.42,9.92,53.14,False
S000016,O000016,CarrierB,WH-CENTRAL,2025-10-12,2025-10-16,2025-10-16,140.92,118.8,16.3,0.0,True
S000017,O000017,CarrierD,WH-CENTRAL,2025-02-19,2025-02-23,2025-02-22,683.17,259.45,16.87,16.04,False
S000018,O000018,CarrierC,WH-CENTRAL,2025-08-28,2025-09-01,2025-09-01,1323.45,583.97,10.29,0.0,True
S000019,O000019,CarrierA,WH-NORTH,2025-10-14,2025-10-16,2025-10-16,175.8,129.35,4.69,0.0,True
S000020,O000020,CarrierB,WH-SOUTH,2025-08-24,2025-08-24,2025-08-24,408.87,277.06,11.88,0.0,True
S000021,O000021,CarrierD,WH-CENTRAL,2025-08-07,2025-08-13,2025-08-11,3.8,26.35,16.6,24.69,False
S000022,O000022,CarrierB,WH-NORTH,2025-08-02,2025-08-07,2025-08-07,766.72,318.22,9.0,0.0,True
S000023,O000023,CarrierB,WH-CENTRAL,2025-12-03,2025-12-05,2025-12-05,773.87,509.86,16.77,0.0,True
S000024,O000024,CarrierA,WH-NORTH,2025-10-01,2025-10-04,2025-10-04,80.05,65.27,14.16,0.0,True
S000025,O000025,CarrierC,WH-NORTH,2025-08-23,2025-08-24,2025-08-22,672.3,425.4,15.49,36.25,False
S000026,O000026,CarrierB,WH-CENTRAL,2025-07-15,2025-07-18,2025-07-18,255.33,167.73,5.32,0.0,True
S000027,O000027,CarrierC,WH-NORTH,2025-04-02,2025-04-08,2025-04-03,782.64,628.23,12.07,46.45,False
S000028,O000028,CarrierB,WH-CENTRAL,2025-03-31,2025-04-02,2025-04-02,341.72,187.68,11.76,0.0,True
S000029,O000029,CarrierA,WH-SOUTH,2025-08-18,2025-08-21,2025-08-20,52.92,45.38,4.11,59.76,False
S000030,O000030,CarrierA,WH-CENTRAL,2025-08-17,2025-08-22,2025-08-22,377.05,193.35,8.04,0.0,True
S000031,O000031,CarrierA,WH-CENTRAL,2025-05-07,2025-05-16,2025-05-14,1315.78,604.85,5.05,49.36,False
S000032,O000032,CarrierA,WH-NORTH,2025-09-17,2025-09-17,2025-09-17,1240.98,658.89,16.72,0.0,True
S000033,O000033,CarrierB,WH-NORTH,2025-11-07,2025-11-13,2025-11-13,225.24,125.58,8.25,0.0,True
S000034,O000034,CarrierA,WH-SOUTH,2025-08-24,2025-08-26,2025-08-26,78.06,54.53,9.89,0.0,True
S000035,O000035,CarrierB,WH-NORTH,2025-02-07,2025-02-13,2025-02-08,848.92,640.34,9.97,38.22,False
S000036,O000036,CarrierB,WH-CENTRAL,2025-11-24,2025-11-24,2025-11-23,557.64,432.26,15.72,26.23,False
S000037,O000037,CarrierC,WH-SOUTH,2025-10-03,2025-10-07,2025-10-07,1093.66,914.88,8.98,0.0,True
S000038,O000038,CarrierD,WH-CENTRAL,2025-12-11,2025-12-12,2025-12-12,848.81,532.1,4.59,0.0,True
S000039,O000039,CarrierC,WH-CENTRAL,2025-04-12,2025-04-16,2025-04-16,915.88,544.27,10.97,0.0,True
S000040,O000040,CarrierC,WH-CENTRAL,2025-06-26,2025-06-28,2025-06-28,559.14,209.67,7.25,0.0,True
S000041,O000041,CarrierC,WH-NORTH,2025-09-16,2025-09-21,2025-09-19,114.31,103.87,16.97,5.51,False
S000042,O000042,CarrierC,WH-CENTRAL,2025-09-14,2025-09-16,2025-09-16,1025.63,496.16,12.77,0.0,True
S000043,O000043,CarrierC,WH-CENTRAL,2025-05-13,2025-05-16,2025-05-16,1531.5,1152.96,13.72,0.0,True
S000044,O000044,CarrierD,WH-NORTH,2025-09-06,2025-09-09,2025-09-09,501.05,270.4,10.15,0.0,True
S000045,O000045,CarrierA,WH-CENTRAL,2025-01-07,2025-01-09,2025-01-09,259.08,137.67,6.33,0.0,True
S000046,O000046,CarrierB,WH-NORTH,2025-03-17,2025-03-17,2025-03-17,352.16,270.29,16.47,0.0,True
S000047,O000047,CarrierD,WH-CENTRAL,2025-05-15,2025-05-17,2025-05-17,265.43,245.7,7.26,0.0,True
S000048,O000048,CarrierA,WH-CENTRAL,2025-08-04,2025-08-08,2025-08-07,148.72,153.27,15.81,11.79,False
S000049,O000049,CarrierA,WH-NORTH,2025-12-23,2025-12-26,2025-12-26,763.8,321.14,8.86,0.0,True
S000050,O000050,CarrierA,WH-SOUTH,2025-06-05,2025-06-10,2025-06-10,12.76,26.76,4.51,0.0,True
S000051,O000051,CarrierD,WH-CENTRAL,2025-10-05,2025-10-06,2025-10-06,56.28,38.95,7.02,0.0,True
