snapshot_date,warehouse,sku,on_hand_units,average_daily_demand,inventory_value
2025-01-01,WH-NORTH,SKU-0001,0,0.0,0.0
2025-01-01,WH-NORTH,SKU-0002,16,1.129,1284.18
2025-01-01,WH-NORTH,SKU-0003,28,1.129,4570.26
2025-01-01,WH-NORTH,SKU-0004,4,0.0,524.39
2025-01-01,WH-NORTH,SKU-0005,4,0.0645,815.63
2025-01-01,WH-NORTH,SKU-0006,9,1.8065,1159.69
2025-01-01,WH-NORTH,SKU-0007,19,1.0,4184.49
2025-01-01,WH-NORTH,SKU-0008,62,3.0,380.56
2025-01-01,WH-NORTH,SKU-0009,9,0.0,656.67
2025-01-01,WH-NORTH,SKU-0010,0,0.0,0.0
2025-01-01,WH-NORTH,SKU-0011,2,0.0,328.96
2025-01-01,WH-NORTH,SKU-0012,23,2.871,1113.07
2025-01-01,WH-NORTH,SKU-0013,22,0.8065,1760.07
2025-01-01,WH-NORTH,SKU-0014,29,1.0645,5945.04
2025-01-01,WH-NORTH,SKU-0015,21,1.6129,2078.42
2025-01-01,WH-NORTH,SKU-0016,3,0.0,540.21
2025-01-01,WH-NORTH,SKU-0017,17,1.2903,224.31
2025-01-01,WH-NORTH,SKU-0018,0,0.0,0.0
2025-01-01,WH-NORTH,SKU-0019,18,1.8387,2326.9
2025-01-01,WH-NORTH,SKU-0020,12,0.8387,2789.09
2025-01-01,WH-NORTH,SKU-0021,10,1.3226,2185.53
2025-01-01,WH-NORTH,SKU-0022,25,0.9677,4194.16
2025-01-01,WH-NORTH,SKU-0023,0,0.0,0.0
2025-01-01,WH-NORTH,SKU-0024,17,2.3226,3791.33
2025-01-01,WH-NORTH,SKU-0025,0,1.1613,0.0
2025-01-01,WH-NORTH,SKU-0026,14,0.8065,3165.78
2025-01-01,WH-NORTH,SKU-0027,25,1.7419,667.56
2025-01-01,WH-NORTH,SKU-0028,22,0.2903,3490.37
2025-01-01,WH-NORTH,SKU-0029,31,1.4194,5621.73
2025-01-01,WH-NORTH,SKU-0030,100,4.2903,5389.45
2025-01-01,WH-NORTH,SKU-0031,7,0.0,1643.99
2025-01-01,WH-NORTH,SKU-0032,15,1.2581,2633.4
2025-01-01,WH-NORTH,SKU-0033,27,0.8387,3945.05
2025-01-01,WH-NORTH,SKU-0034,0,0.0,0.0
2025-01-01,WH-NORTH,SKU-0035,23,1.1935,3791.96
2025-01-01,WH-NORTH,SKU-0036,17,0.1935,4182.63
2025-01-01,WH-NORTH,SKU-0037,12,0.9677,430.65
2025-01-01,WH-NORTH,SKU-0038,0,0.0,0.0
2025-01-01,WH-NORTH,SKU-0039,35,0.9032,921.31
2025-01-01,WH-NORTH,SKU-0040,0,0.2581,0.0
2025-01-01,WH-NORTH,SKU-0041,22,1.9355,251.68
2025-01-01,WH-NORTH,SKU-0042,7,1.129,576.85
2025-01-01,WH-NORTH,SKU-0043,13,0.2581,2233.59
2025-01-01,WH-NORTH,SKU-0044,12,1.2903,2062.3
2025-01-01,WH-NORTH,SKU-0045,0,0.0,0.0
2025-01-01,WH-NORTH,SKU-0046,10,0.0,794.04
2025-01-01,WH-NORTH,SKU-0047,10,0.5806,1935.62
2025-01-01,WH-NORTH,SKU-0048,0,0.0,0.0
2025-01-01,WH-NORTH,SKU-0049,31,1.8065,3682.97
2025-01-01,WH-NORTH,SKU-0050,8,1.2581,1222.01
2025-01-01,WH-NORTH,SKU-0051,8,2.1935,1180.26
2025-01-01,WH-NORTH,SKU-0052,24,1.129,283.14
2025-01-01,WH-NORTH,SKU-0053,62,2.0968,15114.83
2025-01-01,WH-NORTH,SKU-0054,2,0.871,450.47
2025-01-01,WH-NORTH,SKU-0055,8,0.0,366.43
2025-01-01,WH-NORTH,SKU-0056,13,0.7742,1921.56
2025-01-01,WH-NORTH,SKU-0057,19,1.9032,1259.23
2025-01-01,WH-NORTH,SKU-0058,0,0.4839,0.0
2025-01-01,WH-NORTH,SKU-0059,27,1.3871,6463.61
2025-01-01,WH-NORTH,SKU-0060,7,0.0,261.88
