order_id,customer_id,warehouse,order_date,promised_date,units_ordered,units_shipped,revenue,carrier,delivery_date,freight_cost,handling_cost,exception_cost,shipment_weight_kg,in_full,on_time,otif,lead_time_days,backorder_units,cost_to_serve,freight_cost_per_kg
O000001,C0163,WH-CENTRAL,2025-03-02,2025-03-07,41,41,12156.66,CarrierA,2025-03-09,286.79,16.48,42.66,670.1,True,False,False,7,0,345.93000000000006,0.4279808983733771
O000002,C0066,WH-SOUTH,2025-09-27,2025-09-30,85,85,6396.24,CarrierA,2025-09-30,1146.33,7.71,0.0,1712.36,True,True,True,3,0,1154.04,0.6694445093321498
O000003,C0160,WH-CENTRAL,2025-05-21,2025-05-28,19,19,5235.15,CarrierA,2025-05-28,133.14,7.53,0.0,167.15,True,True,True,7,0,140.67,0.7965300628178282
O000004,C0176,WH-CENTRAL,2025-08-03,2025-08-08,78,78,19258.12,CarrierC,2025-08-08,244.63,4.48,0.0,492.58,True,True,True,5,0,249.10999999999999,0.49662998903731376
O000005,C0173,WH-NORTH,2025-08-29,2025-09-05,5,5,729.65,CarrierB,2025-09-05,79.94,9.47,0.0,113.85,True,True,True,7,0,89.41,0.7021519543258674
O000006,C0075,WH-CENTRAL,2025-07-11,2025-07-13,46,46,16748.879999999997,CarrierB,2025-07-13,135.73,11.56,0.0,358.94,True,True,True,2,0,147.29,0.37814119351423636
O000007,C0093,WH-NORTH,2025-11-04,2025-11-07,36,36,2348.64,CarrierA,2025-11-07,186.18,9.58,0.0,286.56,True,True,True,3,0,195.76000000000002,0.6497068676716918
O000008,C0156,WH-CENTRAL,2025-01-11,2025-01-14,49,49,6307.14,CarrierA,2025-01-14,308.71,7.69,0.0,451.49,True,True,True,3,0,316.4,0.6837582227734833
O000009,C0103,WH-CENTRAL,2025-08-14,2025-08-17,53,53,11633.96,CarrierB,2025-08-17,271.29,7.0,0.0,285.06,True,True,True,3,0,278.29,0.9516943801304989
O000010,C0125,WH-CENTRAL,2025-04-11,2025-04-13,6,6,2606.94,CarrierD,2025-04-14,84.17,6.16,57.94,120.6,True,False,False,3,0,148.26999999999998,0.697927031509121
O000011,C0105,WH-SOUTH,2025-09-25,2025-09-30,48,48,16813.8,CarrierA,2025-09-30,159.16,8.2,0.0,236.4,True,True,True,5,0,167.35999999999999,0.6732656514382402
O000012,C0137,WH-CENTRAL,2025-12-28,2026-01-02,50,50,19654.75,CarrierD,2026-01-02,568.31,6.41,0.0,762.75,True,True,True,5,0,574.7199999999999,0.7450803015404784
O000013,C0171,WH-NORTH,2025-02-03,2025-02-08,46,46,15653.64,CarrierA,2025-02-07,772.13,13.66,0.0,907.74,True,True,True,4,0,785.79,0.8506070020049794
O000014,C0005,WH-NORTH,2025-05-12,2025-05-14,67,66,8832.18,CarrierD,2025-05-14,737.74,4.15,0.0,1137.52,False,True,False,2,1,741.89,0.648551234264013
O000015,C0102,WH-SOUTH,2025-01-09,2025-01-11,47,47,11331.34,CarrierC,2025-01-12,130.42,9.92,53.14,164.32,True,False,False,3,0,193.47999999999996,0.7936952288218111
O000016,C0076,WH-CENTRAL,2025-10-09,2025-10-16,13,13,4026.49,CarrierB,2025-10-16,118.8,16.3,0.0,140.92,True,True,True,7,0,135.1,0.8430315072381493
O000017,C0078,WH-CENTRAL,2025-02-17,2025-02-22,80,80,6723.89,CarrierD,2025-02-23,259.45,16.87,16.04,683.17,True,False,False,6,0,292.36,0.37977370200682115
O000018,C0023,WH-CENTRAL,2025-08-27,2025-09-01,127,127,29128.78,CarrierC,2025-09-01,583.97,10.29,0.0,1323.45,True,True,True,5,0,594.26,0.44124825267293816
